Number of Requests|'2014-02-26T18:08:18+01:00':213|'2014-02-26T18:18:11+01:00':332|'2014-02-26T18:21:38+01:00':328|'2014-02-26T18:24:54+01:00':379|'2014-02-26T18:28:35+01:00':359|'2014-02-26T18:31:21+01:00':343|'2014-02-26T18:34:57+01:00':343|'2014-02-26T18:38:13+01:00':350|'2014-02-26T18:42:53+01:00':353|'2014-02-26T18:45:33+01:00':352|'2014-02-26T18:49:09+01:00':510|'2014-02-26T18:53:05+01:00':523|'2014-02-26T18:55:57+01:00':507|'2014-02-26T18:58:21+01:00':520
Average Response Time|'2014-02-26T18:08:18+01:00':337|'2014-02-26T18:18:11+01:00':256|'2014-02-26T18:21:38+01:00':274|'2014-02-26T18:24:54+01:00':216|'2014-02-26T18:28:35+01:00':348|'2014-02-26T18:31:21+01:00':346|'2014-02-26T18:34:57+01:00':352|'2014-02-26T18:38:13+01:00':339|'2014-02-26T18:42:53+01:00':357|'2014-02-26T18:45:33+01:00':343|'2014-02-26T18:49:09+01:00':288|'2014-02-26T18:53:05+01:00':185|'2014-02-26T18:55:57+01:00':198|'2014-02-26T18:58:21+01:00':190
Median|'2014-02-26T18:08:18+01:00':358|'2014-02-26T18:18:11+01:00':247|'2014-02-26T18:21:38+01:00':269|'2014-02-26T18:24:54+01:00':213|'2014-02-26T18:28:35+01:00':343|'2014-02-26T18:31:21+01:00':325|'2014-02-26T18:34:57+01:00':355|'2014-02-26T18:38:13+01:00':350|'2014-02-26T18:42:53+01:00':368|'2014-02-26T18:45:33+01:00':348|'2014-02-26T18:49:09+01:00':285|'2014-02-26T18:53:05+01:00':182|'2014-02-26T18:55:57+01:00':204|'2014-02-26T18:58:21+01:00':185
Standard Deviation|'2014-02-26T18:08:18+01:00':172.55|'2014-02-26T18:18:11+01:00':146.62|'2014-02-26T18:21:38+01:00':151.31|'2014-02-26T18:24:54+01:00':115.59|'2014-02-26T18:28:35+01:00':192.25|'2014-02-26T18:31:21+01:00':195.03|'2014-02-26T18:34:57+01:00':189.49|'2014-02-26T18:38:13+01:00':193.12|'2014-02-26T18:42:53+01:00':185.12|'2014-02-26T18:45:33+01:00':201.33|'2014-02-26T18:49:09+01:00':170.26|'2014-02-26T18:53:05+01:00':107.45|'2014-02-26T18:55:57+01:00':110.66|'2014-02-26T18:58:21+01:00':107.14
Percent Deviation|'2014-02-26T18:08:18+01:00':27.92|'2014-02-26T18:18:11+01:00':28.2|'2014-02-26T18:21:38+01:00':29.15|'2014-02-26T18:24:54+01:00':27.46|'2014-02-26T18:28:35+01:00':28.31|'2014-02-26T18:31:21+01:00':28.64|'2014-02-26T18:34:57+01:00':27.83|'2014-02-26T18:38:13+01:00':28.36|'2014-02-26T18:42:53+01:00':27.22|'2014-02-26T18:45:33+01:00':29.56|'2014-02-26T18:49:09+01:00':29.41|'2014-02-26T18:53:05+01:00':28.13|'2014-02-26T18:55:57+01:00':28.89|'2014-02-26T18:58:21+01:00':28.19
Min Response Time|'2014-02-26T18:08:18+01:00':32|'2014-02-26T18:18:11+01:00':16|'2014-02-26T18:21:38+01:00':24|'2014-02-26T18:24:54+01:00':17|'2014-02-26T18:28:35+01:00':16|'2014-02-26T18:31:21+01:00':19|'2014-02-26T18:34:57+01:00':18|'2014-02-26T18:38:13+01:00':15|'2014-02-26T18:42:53+01:00':18|'2014-02-26T18:45:33+01:00':16|'2014-02-26T18:49:09+01:00':9|'2014-02-26T18:53:05+01:00':8|'2014-02-26T18:55:57+01:00':6|'2014-02-26T18:58:21+01:00':5
90% Percentile|'2014-02-26T18:08:18+01:00':567|'2014-02-26T18:18:11+01:00':461|'2014-02-26T18:21:38+01:00':488|'2014-02-26T18:24:54+01:00':377|'2014-02-26T18:28:35+01:00':625|'2014-02-26T18:31:21+01:00':632|'2014-02-26T18:34:57+01:00':601|'2014-02-26T18:38:13+01:00':602|'2014-02-26T18:42:53+01:00':600|'2014-02-26T18:45:33+01:00':621|'2014-02-26T18:49:09+01:00':530|'2014-02-26T18:53:05+01:00':338|'2014-02-26T18:55:57+01:00':350|'2014-02-26T18:58:21+01:00':339
Max Response Time|'2014-02-26T18:08:18+01:00':618|'2014-02-26T18:18:11+01:00':520|'2014-02-26T18:21:38+01:00':519|'2014-02-26T18:24:54+01:00':421|'2014-02-26T18:28:35+01:00':679|'2014-02-26T18:31:21+01:00':681|'2014-02-26T18:34:57+01:00':681|'2014-02-26T18:38:13+01:00':681|'2014-02-26T18:42:53+01:00':680|'2014-02-26T18:45:33+01:00':681|'2014-02-26T18:49:09+01:00':579|'2014-02-26T18:53:05+01:00':382|'2014-02-26T18:55:57+01:00':383|'2014-02-26T18:58:21+01:00':380
Throughput|'2014-02-26T18:08:18+01:00':7.68|'2014-02-26T18:18:11+01:00':11.71|'2014-02-26T18:21:38+01:00':11.41|'2014-02-26T18:24:54+01:00':13.72|'2014-02-26T18:28:35+01:00':12.46|'2014-02-26T18:31:21+01:00':11.93|'2014-02-26T18:34:57+01:00':12.11|'2014-02-26T18:38:13+01:00':12.33|'2014-02-26T18:42:53+01:00':12.27|'2014-02-26T18:45:33+01:00':12.37|'2014-02-26T18:49:09+01:00':17.52|'2014-02-26T18:53:05+01:00':18.11|'2014-02-26T18:55:57+01:00':17.63|'2014-02-26T18:58:21+01:00':18.28
Error Rating|'2014-02-26T18:08:18+01:00':0.0|'2014-02-26T18:18:11+01:00':0.0|'2014-02-26T18:21:38+01:00':0.0|'2014-02-26T18:24:54+01:00':0.0|'2014-02-26T18:28:35+01:00':0.0|'2014-02-26T18:31:21+01:00':0.0|'2014-02-26T18:34:57+01:00':0.0|'2014-02-26T18:38:13+01:00':0.0|'2014-02-26T18:42:53+01:00':0.0|'2014-02-26T18:45:33+01:00':0.0|'2014-02-26T18:49:09+01:00':0.0|'2014-02-26T18:53:05+01:00':0.0|'2014-02-26T18:55:57+01:00':0.0|'2014-02-26T18:58:21+01:00':0.0
