Percentiles,jp@gc - Dummy Sampler
0.1,101.0
0.2,101.0
0.3,107.0
0.4,107.0
0.5,107.0
0.6,114.0
0.7,114.0
0.8,114.0
0.9,115.0
1.0,115.0
1.1,119.0
1.2,119.0
1.3,119.0
1.4,123.0
1.5,123.0
1.6,123.0
1.7,126.0
1.8,126.0
1.9,126.0
2.0,127.0
2.1,127.0
2.2,127.0
2.3,127.0
2.4,127.0
2.5,128.0
2.6,128.0
2.7,128.0
2.8,134.0
2.9,134.0
3.0,136.0
3.1,136.0
3.2,136.0
3.3,136.0
3.4,136.0
3.5,136.0
3.6,137.0
3.7,137.0
3.8,137.0
3.9,138.0
4.0,138.0
4.1,138.0
4.2,138.0
4.3,138.0
4.4,145.0
4.5,145.0
4.6,145.0
4.7,151.0
4.8,151.0
4.9,151.0
5.0,153.0
5.1,153.0
5.2,153.0
5.3,153.0
5.4,153.0
5.5,156.0
5.6,156.0
5.7,156.0
5.8,158.0
5.9,158.0
6.0,160.0
6.1,160.0
6.2,160.0
6.3,161.0
6.4,161.0
6.5,161.0
6.6,165.0
6.7,165.0
6.8,165.0
6.9,165.0
7.0,165.0
7.1,168.0
7.2,168.0
7.3,168.0
7.4,169.0
7.5,169.0
7.6,169.0
7.7,169.0
7.8,169.0
7.9,169.0
8.0,171.0
8.1,171.0
8.2,176.0
8.3,176.0
8.4,176.0
8.5,178.0
8.6,178.0
8.7,178.0
8.8,183.0
8.9,183.0
9.0,185.0
9.1,185.0
9.2,185.0
9.3,185.0
9.4,185.0
9.5,185.0
9.6,188.0
9.7,188.0
9.8,188.0
9.9,188.0
10.0,188.0
10.1,196.0
10.2,196.0
10.3,196.0
10.4,197.0
10.5,197.0
10.6,197.0
10.7,197.0
10.8,197.0
10.9,198.0
11.0,198.0
11.1,198.0
11.2,200.0
11.3,200.0
11.4,200.0
11.5,201.0
11.6,201.0
11.7,201.0
11.8,202.0
11.9,202.0
12.0,203.0
12.1,203.0
12.2,203.0
12.3,203.0
12.4,203.0
12.5,203.0
12.6,205.0
12.7,205.0
12.8,205.0
12.9,207.0
13.0,207.0
13.1,213.0
13.2,213.0
13.3,213.0
13.4,217.0
13.5,217.0
13.6,217.0
13.7,221.0
13.8,221.0
13.9,221.0
14.0,221.0
14.1,221.0
14.2,229.0
14.3,229.0
14.4,229.0
14.5,231.0
14.6,231.0
14.7,231.0
14.8,232.0
14.9,232.0
15.0,235.0
15.1,235.0
15.2,235.0
15.3,236.0
15.4,236.0
15.5,236.0
15.6,239.0
15.7,239.0
15.8,239.0
15.9,243.0
16.0,243.0
16.1,244.0
16.2,244.0
16.3,244.0
16.4,246.0
16.5,246.0
16.6,246.0
16.7,246.0
16.8,246.0
16.9,249.0
17.0,249.0
17.1,249.0
17.2,249.0
17.3,249.0
17.4,249.0
17.5,251.0
17.6,251.0
17.7,251.0
17.8,251.0
17.9,251.0
18.0,254.0
18.1,254.0
18.2,254.0
18.3,254.0
18.4,254.0
18.5,254.0
18.6,259.0
18.7,259.0
18.8,259.0
18.9,260.0
19.0,260.0
19.1,265.0
19.2,265.0
19.3,265.0
19.4,271.0
19.5,271.0
19.6,271.0
19.7,274.0
19.8,274.0
19.9,278.0
20.0,278.0
20.1,278.0
20.2,278.0
20.3,278.0
20.4,278.0
20.5,280.0
20.6,280.0
20.7,280.0
20.8,288.0
20.9,288.0
21.0,288.0
21.1,288.0
21.2,288.0
21.3,294.0
21.4,294.0
21.5,294.0
21.6,298.0
21.7,298.0
21.8,298.0
21.9,298.0
22.0,298.0
22.1,301.0
22.2,301.0
22.3,301.0
22.4,303.0
22.5,303.0
22.6,303.0
22.7,308.0
22.8,308.0
22.9,308.0
23.0,308.0
23.1,308.0
23.2,311.0
23.3,311.0
23.4,311.0
23.5,311.0
23.6,311.0
23.7,311.0
23.8,312.0
23.9,312.0
24.0,314.0
24.1,314.0
24.2,314.0
24.3,315.0
24.4,315.0
24.5,315.0
24.6,317.0
24.7,317.0
24.8,317.0
24.9,317.0
25.0,317.0
25.1,319.0
25.2,319.0
25.3,319.0
25.4,325.0
25.5,325.0
25.6,325.0
25.7,326.0
25.8,326.0
25.9,329.0
26.0,329.0
26.1,329.0
26.2,334.0
26.3,334.0
26.4,334.0
26.5,334.0
26.6,334.0
26.7,334.0
26.8,337.0
26.9,337.0
27.0,341.0
27.1,341.0
27.2,341.0
27.3,344.0
27.4,344.0
27.5,344.0
27.6,344.0
27.7,344.0
27.8,346.0
27.9,346.0
28.0,346.0
28.1,347.0
28.2,347.0
28.3,347.0
28.4,352.0
28.5,352.0
28.6,352.0
28.7,353.0
28.8,353.0
28.9,353.0
29.0,353.0
29.1,353.0
29.2,356.0
29.3,356.0
29.4,356.0
29.5,359.0
29.6,359.0
29.7,359.0
29.8,361.0
29.9,361.0
30.0,361.0
30.1,361.0
30.2,361.0
30.3,364.0
30.4,364.0
30.5,364.0
30.6,365.0
30.7,365.0
30.8,366.0
30.9,366.0
31.0,366.0
31.1,368.0
31.2,368.0
31.3,368.0
31.4,370.0
31.5,370.0
31.6,370.0
31.7,371.0
31.8,371.0
31.9,377.0
32.0,377.0
32.1,377.0
32.2,384.0
32.3,384.0
32.4,384.0
32.5,387.0
32.6,387.0
32.7,395.0
32.8,395.0
32.9,395.0
33.0,397.0
33.1,397.0
33.2,397.0
33.3,402.0
33.4,402.0
33.5,402.0
33.6,402.0
33.7,402.0
33.8,405.0
33.9,405.0
34.0,405.0
34.1,411.0
34.2,411.0
34.3,411.0
34.4,413.0
34.5,413.0
34.6,413.0
34.7,413.0
34.8,413.0
34.9,417.0
35.0,417.0
35.1,417.0
35.2,419.0
35.3,419.0
35.4,419.0
35.5,421.0
35.6,421.0
35.7,422.0
35.8,422.0
35.9,422.0
36.0,425.0
36.1,425.0
36.2,425.0
36.3,425.0
36.4,425.0
36.5,425.0
36.6,427.0
36.7,427.0
36.8,427.0
36.9,427.0
37.0,427.0
37.1,437.0
37.2,437.0
37.3,437.0
37.4,437.0
37.5,437.0
37.6,437.0
37.7,439.0
37.8,439.0
37.9,439.0
38.0,439.0
38.1,439.0
38.2,440.0
38.3,440.0
38.4,440.0
38.5,443.0
38.6,443.0
38.7,445.0
38.8,445.0
38.9,445.0
39.0,448.0
39.1,448.0
39.2,448.0
39.3,449.0
39.4,449.0
39.5,449.0
39.6,453.0
39.7,453.0
39.8,453.0
39.9,453.0
40.0,453.0
40.1,463.0
40.2,463.0
40.3,463.0
40.4,465.0
40.5,465.0
40.6,468.0
40.7,468.0
40.8,468.0
40.9,469.0
41.0,469.0
41.1,469.0
41.2,469.0
41.3,469.0
41.4,469.0
41.5,469.0
41.6,469.0
41.7,470.0
41.8,470.0
41.9,470.0
42.0,470.0
42.1,470.0
42.2,470.0
42.3,473.0
42.4,473.0
42.5,473.0
42.6,478.0
42.7,478.0
42.8,478.0
42.9,478.0
43.0,478.0
43.1,480.0
43.2,480.0
